ts_code,name,classify,exchange,min_unit,max_unit,pip,pip_cost,traget_spread,min_stop_distance,trading_hours,break_time
AUDCAD.FXCM,澳元加元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
AUDCHF.FXCM,澳元瑞士法郎,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
AUDJPY.FXCM,澳元日元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
AUDNZD.FXCM,澳元新西兰元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
AUDUSD.FXCM,澳元美元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
AUS200.FXCM,澳大利亚标准普尔200指数,INDEX,FXCM,1.0,2000.0,1.0,0.1,1.0,0.0,Sun 23.50 - Fri 20.45,Daily 06.30 - 07.10
Bund.FXCM,欧洲债券,BUND,FXCM,1.0,,,,,,,
CADCHF.FXCM,加元瑞士法郎,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
CADJPY.FXCM,加元日元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
CHFJPY.FXCM,瑞郎日元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
CHN50.FXCM,富时中国A50指数,INDEX,FXCM,1.0,100.0,1.0,0.1,15.0,0.0,Daily 01.00 - 20.45,Daily 08.30 - 09.00
Copper.FXCM,铜,COMMODITY,FXCM,1.0,500.0,,0.1,3.0,0.0,Sun 22.00 - Fri 20.45,Daily from 21.00 until 22.00
ESP35.FXCM,西班牙IBEX35指数,INDEX,FXCM,1.0,5000.0,1.0,0.1,8.0,12.0,Daily 06.00 - 18.00,
EURAUD.FXCM,欧元澳元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
EURCAD.FXCM,欧元加元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
EURCHF.FXCM,欧元瑞士法郎,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
EURGBP.FXCM,欧元英镑,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
EURJPY.FXCM,欧元日元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
EURNOK.FXCM,欧元挪威克朗,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
EURNZD.FXCM,欧元新西兰元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
EURSEK.FXCM,欧元瑞典克朗,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
EURTRY.FXCM,欧元兑土耳其里拉,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
EURUSD.FXCM,欧元美元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
EUSTX50.FXCM,欧洲斯托克50指数,INDEX,FXCM,1.0,5000.0,1.0,0.1,1.0,0.0,Daily 06.00 - 20.00,
FRA40.FXCM,法国CAC40指数,INDEX,FXCM,1.0,5000.0,1.0,0.1,1.0,0.0,Daily 06.00 - 20.00,
GBPAUD.FXCM,英镑澳元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
GBPCAD.FXCM,英镑加元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
GBPCHF.FXCM,英镑瑞士法郎,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
GBPJPY.FXCM,英镑日元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
GBPNZD.FXCM,英镑新西兰元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
GBPUSD.FXCM,英镑美元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
